SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\resized owl moon.jpg.lnk,2019-03-26 16:51:14,2019-03-26 16:51:15,2022-11-30 01:06:52,,,,0,..\..\..\..\..\Desktop\GoodOnes\resized owl moon.jpg,C:\Users\Justine B\Desktop\GoodOnes,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Desktop\GoodOnes\resized owl moon.jpg,,,,My Computer\Desktop\\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\Owls and Their Homes.docx.lnk,2019-03-26 16:03:02,2019-03-26 16:03:02,2019-03-26 16:03:02,2019-03-26 15:49:45,2019-03-26 15:49:49,2019-03-26 15:49:45,5529698,..\..\..\..\..\Downloads\Owls and Their Homes.docx,C:\Users\Justine B\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Downloads\Owls and Their Homes.docx,,,,My Computer\Downloads\,0x25BC4,0x5,desktop-n566fm9,70:5a:b6:91:13:5d,COMPAL INFORMATION,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\pFRtHLhL4eOA4de3yoIRiZt1DONVY3miIQtn8qVU0FI.gif.lnk,2019-03-26 17:19:17,2019-03-26 17:19:17,2019-03-26 17:19:17,2019-03-26 17:19:17,2019-03-26 17:19:17,2019-03-26 17:19:17,0,..\..\..\..\..\Downloads\pFRtHLhL4eOA4de3yoIRiZt1DONVY3miIQtn8qVU0FI.gif,C:\Users\Justine B\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Downloads\pFRtHLhL4eOA4de3yoIRiZt1DONVY3miIQtn8qVU0FI.gif,,,,My Computer\Downloads\,0x0,,desktop-n566fm9,70:5a:b6:91:13:5d,COMPAL INFORMATION,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\The Internet.lnk,2019-03-25 13:07:04,2019-03-25 13:07:04,2019-03-25 13:07:04,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\Great Horned Owl.pdf.lnk,2019-03-26 15:32:09,2019-03-26 15:42:32,2019-03-26 15:42:32,2019-03-26 15:32:09,2019-03-26 15:32:10,2019-03-26 04:00:00,1048178,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\Great Horned Owl.pdf,,,,F:\\,0xEA5300,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\GoodOnes.lnk,2019-03-26 15:46:26,2019-03-26 16:51:15,2019-03-26 16:51:15,2019-03-26 15:46:21,2019-03-26 16:51:14,2019-03-26 16:51:14,4096,..\..\..\..\..\Desktop\GoodOnes,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Desktop\GoodOnes,,,,My Computer\Desktop\,0x2499E,0x1,desktop-n566fm9,70:5a:b6:91:13:5d,COMPAL INFORMATION,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\d26ac13321f158c9e5e2fa459a6974ba.jpg.lnk,2019-03-26 12:41:31,2019-03-26 12:41:31,2019-03-26 12:41:31,2019-02-20 18:41:45,2019-02-19 18:27:18,2019-02-20 04:00:00,35920,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",20F3BCE6,CAMERACARD,F:\d26ac13321f158c9e5e2fa459a6974ba.jpg,,,,F:\\,0x400120,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\owlColors.xlsx.lnk,2019-03-26 16:48:15,2019-03-26 16:48:15,2019-03-26 16:48:15,,,,0,..\..\..\..\..\Documents\owlColors.xlsx,C:\Users\Justine B\Documents,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Documents\owlColors.xlsx,,,,My Computer\Documents\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\DWB2x2LVoAAtkWf.jpg large.jpg.lnk,2019-03-26 17:31:05,2019-03-26 17:31:05,2019-03-26 17:31:05,2019-03-26 17:31:05,2019-03-26 17:31:05,2019-03-26 17:31:05,452851,..\..\..\..\..\Desktop\DWB2x2LVoAAtkWf.jpg large.jpg,C:\Users\Justine B\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Desktop\DWB2x2LVoAAtkWf.jpg large.jpg,,,,My Computer\Desktop\,0x0,,desktop-n566fm9,70:5a:b6:91:13:5d,COMPAL INFORMATION,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\owlColors_backup.xlsx.lnk,2019-03-26 16:49:36,2019-03-26 16:49:36,2019-03-26 16:49:36,2019-03-26 16:49:23,2019-03-26 16:48:16,2019-03-26 04:00:00,9073,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\owlColors_backup.xlsx,,,,F:\\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\Skype.lnk,2019-03-25 13:11:54,2019-03-25 13:11:54,2019-03-25 13:11:54,2019-03-25 13:11:50,2019-03-25 13:11:50,2019-03-25 13:11:50,0,..\..\Skype,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\AppData\Roaming\Microsoft\Skype,,,,C:\\Users\\\\\,0x160D3,0x1,desktop-n566fm9,70:5a:b6:91:13:5d,COMPAL INFORMATION,2019-03-25 15:52:24,"TrackerDataBaseBlock, PropertyStoreDataBlock"
