RunTime,ExecutableName
2019-03-27 11:49:51,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2019-03-25 16:49:43,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2019-03-27 11:46:40,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-03-27 11:44:25,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-03-26 10:50:42,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-03-25 15:03:17,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-03-25 13:07:01,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-03-27 11:46:32,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-27 11:43:02,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-26 10:46:38,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-25 15:14:58,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-25 15:14:45,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-25 15:07:57,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES (X86)\ARES\ARES.EXE
2019-03-25 15:07:42,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\DOWNLOADS\ARESREGULAR246_INSTALLER.EXE
2019-03-27 18:29:57,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-27 12:12:04,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 18:24:28,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 18:13:56,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 18:08:05,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 17:33:40,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 17:05:14,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-26 16:56:26,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2019-03-27 18:24:53,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 12:55:26,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 12:12:03,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 12:01:35,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 11:48:51,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 11:46:15,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 11:42:30,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-26 15:59:13,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 11:44:16,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-26 15:59:09,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-25 15:06:25,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-25 13:09:12,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-03-27 13:16:28,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-03-27 12:11:52,\VOLUME{01d4e328ae22176f-dcaecb8d}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-03-27 12:13:46,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER.EXE
2019-03-27 12:13:47,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-27 12:13:46,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-26 16:53:40,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-26 16:53:39,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-25 13:24:33,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-25 13:24:26,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-25 13:23:20,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-25 13:23:17,\VOLUME{01d4e328ae22176f-dcaecb8d}\PROGRAM FILES\CCLEANER\CCLEANER64.EXE
2019-03-25 13:22:44,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\DOWNLOADS\CCSETUP555.EXE
2019-03-27 11:46:34,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:02,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:04,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-26 10:46:39,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-25 15:29:23,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-25 15:29:07,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:46:44,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:18,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:17,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:16,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-26 10:46:50,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-26 10:46:47,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-25 15:29:54,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-25 15:29:55,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:46:43,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:10,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-26 10:46:45,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:03,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-26 10:46:40,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:46:39,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:06,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:06,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
2019-03-27 11:43:06,\VOLUME{01d4e328ae22176f-dcaecb8d}\USERS\JUSTINE B\APPDATA\LOCAL\CHROMIUM\APPLICATION\CHROME.EXE
