SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2019-01-20 19:18:23,2019-01-20 19:18:23,2022-10-07 05:06:43,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Recently closed,2019-01-20 02:44:31,2018-12-12 05:11:41,2019-01-20 02:44:31,1587680,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\\\\,0x167F4,0x2,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=recently-closed chrome://downloads/
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2019-01-20 19:18:23,2019-01-20 19:18:23,2022-10-07 05:06:43,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Recently closed,2019-01-20 02:44:31,2018-12-12 05:11:41,2019-01-20 02:44:31,1587680,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\\\\,0x167F4,0x2,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=recently-closed chrome://newtab/
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2019-01-20 19:18:23,2019-01-20 19:18:23,2022-10-07 05:06:43,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2019-01-20 02:44:31,2018-12-12 05:11:41,2019-01-20 02:44:31,1587680,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\\\\,0x167F4,0x2,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2019-01-20 19:18:23,2019-01-20 19:18:23,2022-10-07 05:06:43,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2019-01-20 02:44:31,2018-12-12 05:11:41,2019-01-20 02:44:31,1587680,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\\\\,0x167F4,0x2,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--incognito
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\9d1f905ce5044aee.customDestinations-ms,2019-01-19 03:13:12,2019-01-20 03:05:45,2022-10-07 05:06:43,9d1f905ce5044aee,Edge Browser,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,,0x0,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\9d1f905ce5044aee.customDestinations-ms,2019-01-19 03:13:12,2019-01-20 03:05:45,2022-10-07 05:06:43,9d1f905ce5044aee,Edge Browser,,,,,0,,,0,"HasTargetIdList, HasArguments, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,,0x0,,,,,PropertyStoreDataBlock,-private
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\d73913f45fe28db3.customDestinations-ms,2019-01-21 16:58:46,2019-01-21 16:58:46,2022-10-07 05:06:43,d73913f45fe28db3,Unknown AppId,,2019-01-21 16:58:30,2018-07-17 16:25:08,2019-01-21 16:58:30,7081696,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files\Cybertron\Privacy Eraser\PrivacyEraser64.exe,,My Computer\C:\Program Files\\\,0x24FB2,0x1,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",/TASKBAR_JUMP_LIST /Scan
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\d73913f45fe28db3.customDestinations-ms,2019-01-21 16:58:46,2019-01-21 16:58:46,2022-10-07 05:06:43,d73913f45fe28db3,Unknown AppId,,2019-01-21 16:58:30,2018-07-17 16:25:08,2019-01-21 16:58:30,7081696,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files\Cybertron\Privacy Eraser\PrivacyEraser64.exe,,My Computer\C:\Program Files\\\,0x24FB2,0x1,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",/TASKBAR_JUMP_LIST /Clean
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\CustomDestinations\d73913f45fe28db3.customDestinations-ms,2019-01-21 16:58:46,2019-01-21 16:58:46,2022-10-07 05:06:43,d73913f45fe28db3,Unknown AppId,,2019-01-21 16:58:30,2018-07-17 16:25:08,2019-01-21 16:58:30,7081696,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Program Files\Cybertron\Privacy Eraser\PrivacyEraser64.exe,,My Computer\C:\Program Files\\\,0x24FB2,0x1,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",/TASKBAR_JUMP_LIST /Settings
