SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Planning.lnk,2018-03-30 02:16:48,2018-04-05 08:32:48,2018-04-05 08:32:48,2018-03-30 02:16:48,2018-04-04 05:30:41,2018-04-04 05:30:41,14060,..\..\..\..\..\Desktop\Planning.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Planning.docx,,,,My Computer\Desktop\,0x21336,0x6,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\DemGun.lnk,2018-03-29 23:17:51,2018-04-06 08:29:08,2018-04-06 08:29:08,2018-03-29 23:17:51,2018-03-29 23:17:52,2018-03-29 23:17:40,124847,..\..\..\..\..\Downloads\DemGun.jpg,C:\Users\jcloudy\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads\DemGun.jpg,,,,My Computer\Downloads\,0x22350,0x5,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-06 07:50:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\DeathToll.lnk,2018-03-31 04:16:22,2018-04-02 01:10:19,2018-04-02 01:10:19,2018-03-31 04:16:22,2018-03-31 04:16:22,2018-03-31 04:16:11,61596,..\..\..\..\..\Desktop\DeathToll.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DeathToll.jpg,,,,My Computer\Desktop\,0x0,,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\AMEN.lnk,2018-04-06 03:55:00,2018-04-06 03:55:00,2018-04-06 03:55:00,,,,0,..\..\..\..\..\Desktop\AMEN.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AMEN.pdf,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\ms-windows-storepdpProductId=9WZDNCRFJ1P3&ocid=QF.lnk,2018-03-27 09:52:02,2018-03-27 09:52:02,2018-03-27 09:52:02,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-windows-store:pdp?ProductId=9WZDNCRFJ1P3&ocid=QF,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\CubaDearmed.jpg_large.lnk,2018-03-30 21:22:55,2018-03-30 21:22:55,2018-03-30 21:22:55,,,,0,..\..\..\..\..\Desktop\CubaDearmed.jpg_large,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg_large,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\HoldMyTidePod.lnk,2018-04-02 01:12:41,2018-04-02 01:12:41,2018-04-02 01:12:41,2018-03-30 03:29:20,2018-03-30 03:29:20,2018-03-30 03:29:02,43525,..\..\..\..\..\Desktop\HoldMyTidePod.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,,,,My Computer\Desktop\,0x22CF1,0x7,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Desktop.lnk,2018-04-05 02:24:19,2018-04-05 02:24:19,2018-04-05 02:24:19,2018-03-27 09:18:58,2018-04-05 02:20:17,2018-04-05 02:20:17,8192,..\..\..\..\..\Desktop,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop,,,,My Computer\Desktop,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\ms-settingswindowsupdate.lnk,2018-03-27 09:27:12,2018-03-27 09:27:12,2018-03-27 09:27:12,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-settings:windowsupdate,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\BladeofGrass.lnk,2018-03-31 04:15:53,2018-03-31 04:15:53,2018-03-31 04:15:53,,,,0,..\..\..\..\..\Desktop\BladeofGrass.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,,,,My Computer\Desktop\,0x0,,,,,,
